hotel_name,location,points,visitors,picture,comment
重庆来福士洲际酒店,"渝中区, 重庆",8.9,35条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/271177273.jpg?k=e363a9da39a1456574f3e9d6ce239723e36cf43ea5d5a45e2446a86118f73af4&o=,重庆来福士洲际酒店坐落于重庆，距离朝天门广场有几步路，配备健身中心、免费私人停车位、餐厅和酒吧。这家住宿提供的设施包括客房服务、24小时前台以及免费WiFi。这家住宿距离洪崖洞有14分钟步行路程，距离市中心不到5.1公里。 这家酒店附近的热门地标包括罗汉寺、湖广会馆和解放碑。最近的机场是重庆江北国际机场，距离重庆来福士洲际酒店有25公里。
重庆国贸格兰维大酒店,"渝中区, 重庆",9.2,176条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/213245690.jpg?k=20e3aa14d51927cc97d1d2abdd5784df9fd1dd083bed4ccc848b1b3c8cb7dd3e&o=,暂无介绍
 重庆解放碑威斯汀酒店,"渝中区, 重庆",8.5,51条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/467529486.jpg?k=9223ee0a0db4301a3fff41b9cb8694ccebbb91b846a4dcdc0f366e34db959485&o=,暂无介绍
重庆白云亲舍精品酒店,"江北区, 重庆",8.0,13条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/111749760.jpg?k=e4dbb101ccb8ca6607d7bd7e1a0b06d367dd979f7041a38bc2ce05e301927648&o=,重庆白云亲舍精品酒店坐落于重庆，配有餐厅和酒吧，享有市景，距离三峡博物馆有8.1公里。这家住宿距离Hongyan Revolution Memorial Hall有8.2公里，距离重庆市人民大礼堂有8.8公里，距离白公馆有8.9公里。住宿配备24小时前台、机场交通服务、共用休息室以及免费WiFi。...
格林豪泰重庆市涪陵区兴华中路商务酒店,涪陵,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/239687534.jpg?k=058fe421256aa968fbff5a4b6c2e9cdb8d7632db9c68a406cd0d8e912b3080ac&o=,暂无介绍
重庆希尔顿酒店,"渝中区, 重庆",8.0,122条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/483802687.jpg?k=eefeb02c9b797b7a66b9a7caedbb0104abc5f9140623ed9323e16d9fe410f85c&o=,暂无介绍
重庆万豪酒店,"南岸区, 重庆",7.9,28条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/500332132.jpg?k=36904cf2b8e38072dfc4121a6f0391449367b398840ebe6ba83ec3f84c7ac70c&o=,暂无介绍
麗枫酒店·重庆江北国际机场中心店,渝北,0,暂无人评分,https://ac-a.static.booking.cn/xdata/images/hotel/square200/252699161.jpg?k=376227e4877596b376ca47e88c9ba41a2f780048da61b0f43324348f8c2eaaef&o=,麗枫酒店·重庆江北国际机场中心店位于渝北，距离重庆火车北站有20公里，提供带免费WiFi的空调客房。这家住宿距离重庆市人民大礼堂约有26公里，距离洪崖洞有26公里，距离罗汉寺有26公里。这家酒店距离三峡博物馆有27公里，距离解放碑有28公里。 这家酒店的24小时前台工作人员可为客人提供建议。...
重庆JW万豪酒店,"渝中区, 重庆",8.6,52条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/495829724.jpg?k=b6ff75c107f8f3f2e98673fce6cf6ff1b2aaa55047eeaa16aa495090000bf08f&o=,暂无介绍
弱水咖啡国际青旅Only Cafe and Backpacker,"渝中区, 重庆",9.6,130条住客点评,https://ac-a.static.booking.cn/xdata/images/hotel/square200/54550684.jpg?k=2546f18cdfa3ff5b04fbfd93f2f6c1447649a2b56f76f83bc42253d5e00e3eeb&o=,暂无介绍
